Όνομα Χρήστη,Email Χρήστη,Κατηγορία Λογαριασμού,Ποσό Πληρωμής,Ημερομηνία Λήξης του Λογαριασμού,Κατάσταση Ειδοποίησης
Γιώργης Παπαδόπουλος,giorgi@gmail.com,Ρεύμα,50,2026-05-14,Εκκρεμεί
Γιώργης Παπαδόπουλος,giorgi@gmail.com,Ίντερνετ,30,2026-05-13,Εκκρεμεί
Γιώργης Παπαδόπουλος,giorgi@gmail.com,Ενοίκιο,600,2026-05-15,Εκκρεμεί
Μαρία Κωνσταντίνου,maria@gmail.com,Ρεύμα,45,2026-05-22,Εκκρεμεί
Μαρία Κωνσταντίνου,maria@gmail.com,Ίντερνετ,25,2026-05-14,Εκκρεμεί
Νίκος Αλεξίου,nikos@gmail.com,Ενοίκιο,550,2026-05-17,Εκκρεμεί
Νίκος Αλεξίου,nikos@gmail.com,Ρεύμα,60,2026-05-13,Εκκρεμεί
Ελένη Δημητρίου,eleni@gmail.com,Ρεύμα,55,2026-05-15,Εκκρεμεί
Ελένη Δημητρίου,eleni@gmail.com,Ίντερνετ,35,2026-05-27,Εκκρεμεί
Ελένη Δημητρίου,eleni@gmail.com,Ενοίκιο,700,2026-05-14,Εκκρεμεί
Κώστας Παππάς,kostas@gmail.com,Ίντερνετ,20,2026-05-19,Εκκρεμεί
Σοφία Νικολάου,sofia@gmail.com,Ρεύμα,48,2026-05-13,Εκκρεμεί
Σοφία Νικολάου,sofia@gmail.com,Ενοίκιο,580,2026-05-30,Εκκρεμεί
Δημήτρης Βασιλείου,dimitris@gmail.com,Ρεύμα,52,2026-05-15,Εκκρεμεί
Άννα Γεωργίου,anna@gmail.com,Ίντερνετ,22,2026-05-12,Εκκρεμεί
